city,week,avg_temp,holiday
Asuncion,4/2/2018,24.92857143,FALSE
Asuncion,4/9/2018,26.18571429,FALSE
Asuncion,4/16/2018,26.18571429,FALSE
Asuncion,4/23/2018,26.71428571,FALSE
Asuncion,4/30/2018,26.02857143,TRUE
Asuncion,5/7/2018,22.74285714,FALSE
Asuncion,5/14/2018,19.45714286,TRUE
Asuncion,5/21/2018,17.44285714,FALSE
Asuncion,5/28/2018,18.85714286,FALSE
Asuncion,6/4/2018,15.58571429,FALSE
Asuncion,6/11/2018,13.27142857,TRUE
Asuncion,6/18/2018,19.64285714,FALSE
Asuncion,6/25/2018,19.48571429,FALSE
Asuncion,7/2/2018,18.02857143,FALSE
Asuncion,7/9/2018,16.54285714,FALSE
Asuncion,7/16/2018,19.2,FALSE
Asuncion,7/23/2018,13.27142857,FALSE
Asuncion,7/30/2018,13.88571429,FALSE
Asuncion,8/6/2018,15.41428571,FALSE
Asuncion,8/13/2018,19.97142857,TRUE
Asuncion,8/20/2018,13.44285714,FALSE
Asuncion,8/27/2018,20.12857143,FALSE
Asuncion,9/3/2018,20.1,FALSE
Asuncion,9/10/2018,21.61428571,FALSE
Asuncion,9/17/2018,25.12857143,FALSE
Asuncion,9/24/2018,24.32857143,TRUE
Asuncion,10/1/2018,21.55714286,FALSE
Asuncion,10/8/2018,23.18571429,FALSE
Asuncion,10/15/2018,25.64285714,FALSE
Asuncion,10/22/2018,23.51428571,FALSE
Asuncion,10/29/2018,25.6,FALSE
Asuncion,11/5/2018,27.27142857,FALSE
Asuncion,11/12/2018,27.1,FALSE
Asuncion,11/19/2018,24.84285714,FALSE
Asuncion,11/26/2018,25.7,FALSE
Asuncion,12/3/2018,24.44285714,TRUE
Asuncion,12/10/2018,29.51428571,FALSE
Asuncion,12/17/2018,29.77142857,FALSE
Asuncion,12/24/2018,28.55714286,TRUE
Asuncion,12/31/2018,28.48571429,TRUE
Asuncion,1/7/2019,27.38571429,FALSE
Asuncion,1/14/2019,27.78571429,FALSE
Asuncion,1/21/2019,30.97142857,FALSE
Asuncion,1/28/2019,30.2,FALSE
Asuncion,2/4/2019,28.47142857,FALSE
Asuncion,2/11/2019,25.22857143,FALSE
Asuncion,2/18/2019,29.07142857,FALSE
Asuncion,2/25/2019,25.61428571,TRUE
Asuncion,3/4/2019,25.75714286,FALSE
Asuncion,3/11/2019,23.34285714,FALSE
Asuncion,3/18/2019,23.82857143,FALSE
Asuncion,3/25/2019,25.21428571,FALSE
Asuncion,4/1/2019,22.25714286,FALSE
Asuncion,4/8/2019,23.67142857,FALSE
Asuncion,4/15/2019,24.35714286,TRUE
Asuncion,4/22/2019,23.68571429,FALSE
Asuncion,4/29/2019,22.7,TRUE
Asuncion,5/6/2019,22.94285714,FALSE
Asuncion,5/13/2019,19.61428571,TRUE
Asuncion,5/20/2019,18.47142857,FALSE
Asuncion,5/27/2019,19.58571429,FALSE
Asuncion,6/3/2019,18.61428571,FALSE
Asuncion,6/10/2019,24.44285714,TRUE
Asuncion,6/17/2019,20.15714286,FALSE
Asuncion,6/24/2019,20.34285714,FALSE
Asuncion,7/1/2019,12.28571429,FALSE
Asuncion,7/8/2019,20.91428571,FALSE
Asuncion,7/15/2019,19.34285714,FALSE
Asuncion,7/22/2019,13.61428571,FALSE
Asuncion,7/29/2019,16.97142857,FALSE
